,CS,alt1_TravelTime,alt1_TravelCost,alt1_Standing,alt1_Crowding,alt2_TravelTime,alt2_TravelCost,alt2_Standing,alt2_Crowding,Block
0,1,35,30,0,3,45,10,1,3,4
1,2,35,10,1,3,45,30,0,3,2
2,3,45,25,0,4,35,15,1,1,4
3,4,45,10,0,5,35,30,1,1,3
4,5,40,20,0,2,40,20,1,4,3
5,6,45,25,1,1,35,15,0,5,1
6,7,35,30,1,5,40,10,0,1,1
7,8,40,30,0,2,40,10,1,4,3
8,9,35,20,0,1,45,20,1,4,4
9,10,45,25,1,4,35,10,0,2,3
10,11,35,20,1,4,45,15,0,2,1
11,12,40,10,1,1,35,25,0,5,2
12,13,40,15,0,1,40,25,1,5,1
13,14,35,15,1,3,45,25,0,2,4
14,15,45,15,1,2,35,20,0,3,2
15,16,40,10,0,5,40,30,1,1,2
