,CS,alt1_TravelTime,alt1_TravelCost,alt1_Standing,alt1_Crowding,alt2_TravelTime,alt2_TravelCost,alt2_Standing,alt2_Crowding,Block
0,1,25,10,0,1,15,25,1,5,3
1,2,20,30,0,5,15,10,1,1,2
2,3,15,25,0,2,25,10,1,4,1
3,4,15,30,0,3,25,10,1,3,3
4,5,15,15,0,3,20,25,1,3,2
5,6,25,25,0,2,15,15,1,3,4
6,7,20,30,1,4,20,10,0,2,3
7,8,15,10,0,3,25,30,1,2,3
8,9,20,20,1,1,20,20,0,5,1
9,10,15,15,1,5,25,25,0,1,4
10,11,15,15,1,1,25,20,0,5,1
11,12,25,20,1,1,15,20,0,4,1
12,13,20,10,1,5,20,30,0,1,2
13,14,25,25,1,4,15,15,0,1,2
14,15,20,20,1,2,20,15,0,4,4
15,16,25,10,0,4,15,30,1,2,4
