,CS,alt1_TravelTime,alt1_TravelCost,alt1_Standing,alt1_Crowding,alt2_TravelTime,alt2_TravelCost,alt2_Standing,alt2_Crowding,Block
0,1,20,20,0,1,20,10,1,5,1
1,2,15,15,0,1,25,15,1,4,2
2,3,30,10,1,1,10,20,0,5,3
3,4,15,5,0,2,25,25,1,3,1
4,5,10,10,0,2,30,15,1,4,4
5,6,20,10,0,3,15,20,1,2,2
6,7,10,5,1,5,25,25,0,1,1
7,8,30,25,0,4,10,5,1,2,1
8,9,20,15,1,1,20,15,0,5,3
9,10,25,25,1,2,10,5,0,4,4
10,11,25,5,1,3,15,25,0,3,2
11,12,30,5,0,4,10,20,1,1,2
12,13,25,15,1,5,15,10,0,1,4
13,14,15,25,0,5,20,5,1,1,3
14,15,10,20,1,3,30,5,0,3,4
15,16,10,20,1,4,30,10,0,2,3
